No.,Name,Date,Location
288,Red-billed Pigeon,"Jan. 9, 2025","Santa Margarita Ranch, TX"
287,Black-throated Sparrow,"Jan. 9, 2025","Santa Margarita Ranch, TX"
286,White-tipped Dove,"Jan. 8, 2025","McAllen Airport Car Rental Parking Lot, TX"
285,Canyon Wren,"Dec. 27, 2024","Sedona, AZ"
284,Mountain Chickadee,"Dec. 26, 2024","Grand Canyon, AZ"
283,Gila Woodpecker,"Dec. 26, 2024","Sedona, AZ"
282,Bridled Titmouse,"Dec. 26, 2024","Sedona, AZ"
281,Rock Wren,"Dec. 25, 2024","Sedona, AZ"
280,Bewick’s Wren,"Dec. 25, 2024","Sedona, AZ"
279,Bushtit,"Dec. 25, 2024","Sedona, AZ"
278,White-crowned Sparrow,"Dec. 25, 2024","Sedona, AZ"
277,Juniper Titmouse,"Dec. 25, 2024","Sedona, AZ"
276,Woodhouse’s Scrub-Jay,"Dec. 25, 2024","Sedona, AZ"
275,Red-naped Sapsucker,"Dec. 25, 2024","Sedona, AZ"
274,Pomarine Jaeger,"Nov. 2, 2024","Gloucester Pelagic, MA"
273,Cory’s Shearwater,"Nov. 2, 2024","Gloucester Pelagic, MA"
272,Northern Gannet,"Oct. 19, 2024","Gloucester Pelagic, MA"
271,Black-naped Oriole,"Oct. 1-16, 2024",Vietnam
270,Yellow Bittern,"Oct. 1-16, 2024",Vietnam
269,Asian Openbill,"Oct. 1-16, 2024",Vietnam
268,White-throated Kingfisher,"Oct. 1-16, 2024",Vietnam
267,White-breasted Waterhen,"Oct. 1-16, 2024",Vietnam
266,Eurasian Moorhen,"Oct. 1-16, 2024",Vietnam
265,Eastern Cattle-Egret,"Oct. 1-16, 2024",Vietnam
264,Crimson Sunbird,"Oct. 1-16, 2024",Vietnam
263,Greater Coucal,"Oct. 1-16, 2024",Vietnam
262,Black-crested Bulbul,"Oct. 1-16, 2024",Vietnam
261,Blue Whistling-Thrush,"Oct. 1-16, 2024",Vietnam
260,Scarlet-backed Flowerpecker,"Oct. 1-16, 2024",Vietnam
259,Gray Wagtail,"Oct. 1-16, 2024",Vietnam
258,Common Kingfisher,"Oct. 1-16, 2024",Vietnam
257,White-throated Fantail,"Oct. 1-16, 2024",Vietnam
256,Red-whiskered Bulbul,"Oct. 1-16, 2024",Vietnam
255,Swinhoe’s White-eye,"Oct. 1-16, 2024",Vietnam
254,Eurasian Tree Sparrow,"Oct. 1-16, 2024",Vietnam
253,Oriental Magpie-Robin,"Oct. 1-16, 2024",Vietnam
252,Plain Prinia,"Oct. 1-16, 2024",Vietnam
251,Common Tailorbird,"Oct. 1-16, 2024",Vietnam
250,Yellow-browed Warbler,"Oct. 1-16, 2024",Vietnam
249,Chinese Pond-Heron,"Oct. 1-16, 2024",Vietnam
248,Asian Brown Flycatcher,"Oct. 1-16, 2024",Vietnam
247,Asian Tit,"Oct. 1-16, 2024",Vietnam
246,Fish Crow,"Sep. 25, 2024","KOP Shopping Center, PA"
245,Common Nighthawk,"Sep. 22, 2024","Wilson Park, MA"
244,Bonaparte’s Gull,"Aug. 10, 2024","Point of Pines, MA"
243,Semipalmated Plover,"Aug. 3, 2024","Parker River NWR, Newbury, MA"
242,Short-billed Dowitcher,"Aug. 3, 2024","Parker River NWR, Newbury, MA"
241,Stilt Sandpiper,"Aug. 3, 2024","Parker River NWR, Newbury, MA"
240,Anna’s Hummingbird,"Jul. 19-21, 2024","Murrieta, CA"
239,California Quail,"Jul. 19-21, 2024","Murrieta, CA"
238,Phainopepla,"Jul. 19-21, 2024","Murrieta, CA"
237,Western Bluebird,"Jul. 19-21, 2024","Murrieta, CA"
236,Black Phoebe,"Jul. 19-21, 2024","Murrieta, CA"
235,Red-crested Pochard,"Jul. 3-7, 2024",Switzerland
234,Black Redstart,"Jul. 3-7, 2024",Switzerland
233,Eurasian Blackbird,"Jul. 3-7, 2024",Switzerland
232,Carrion Crow,"Jul. 3-7, 2024",Switzerland
231,White Wagtail,"Jul. 3-7, 2024",Switzerland
230,Yellow-billed Chough,"Jul. 3-7, 2024",Switzerland
229,Common Chiffchaff,"Jul. 3-7, 2024",Switzerland
228,European Goldfinch,"Jul. 3-7, 2024",Switzerland
227,European Robin,"Jul. 3-7, 2024",Switzerland
226,Eurasian Blackcap,"Jul. 3-7, 2024",Switzerland
225,Eurasian Magpie,"Jul. 3-7, 2024",Switzerland
224,Great Tit,"Jul. 3-7, 2024",Switzerland
223,European Serin,"Jul. 3-7, 2024",Switzerland
222,Western House-Martin,"Jul. 3-7, 2024",Switzerland
221,Red Kite,"Jul. 3-7, 2024",Switzerland
220,Common Wood-Pigeon,"Jul. 3-7, 2024",Switzerland
219,Common Swift,"Jul. 3-7, 2024",Switzerland
218,Eurasian Kestrel,"Jul. 3-7, 2024",Switzerland
217,Eurasian Blue Tit,"Jul. 3-7, 2024",Switzerland
216,Water Pipit,"Jul. 3-7, 2024",Switzerland
215,Eurasian Collared-Dove,"Jul. 3-7, 2024",Switzerland
214,Great Crested Grebe,"Jul. 3-7, 2024",Switzerland
213,Yellow-legged Gull,"Jul. 3-7, 2024",Switzerland
212,Black-headed Gull,"Jul. 3-7, 2024",Switzerland
211,Gray Heron,"Jul. 3-7, 2024",Switzerland
210,Little Grebe,"Jul. 3-7, 2024",Switzerland
209,Alpine Swift,"Jul. 3-7, 2024",Switzerland
208,Eurasian Coot,"Jul. 3-7, 2024",Switzerland
207,Least Bittern,"Jun. 22, 2024","Parker River NWR, Newbury, MA"
206,Common Tern,"Jun. 22, 2024","Parker River NWR, Newbury, MA"
205,Purple Martin,"Jun. 22, 2024","Parker River NWR, Newbury, MA"
204,Piping Plover,"Jun. 5, 2024","Revere Beach, MA"
203,Bobolink,"May 26, 2024","Drumlin Farms, MA"
202,Eastern Wood-Pewee,"May 26, 2024","Drumlin Farms, MA"
201,American Goshawk,"May 19, 2024","Ripton, VT"
200,Louisiana Waterthrush,"May 19, 2024","Ripton, VT"
199,Golden-winged Warbler,"May 18, 2024","Cram Rd. Powerlines, VT"
198,Blue-winged Warbler,"May 18, 2024","Cram Rd. Powerlines, VT"
197,Prairie Warbler,"May 18, 2024","Cram Rd. Powerlines, VT"
196,Blackburnian Warbler,"May 18, 2024","Goshen, VT"
195,Mourning Warbler,"May 18, 2024","Goshen, VT"
194,Indigo Bunting,"May 18, 2024","Goshen, VT"
193,Red Crossbill,"May 18, 2024","Goshen, VT"
192,Alder Flycatcher,"May 18, 2024","Goshen, VT"
191,Canada Warbler,"May 18, 2024","Goshen, VT"
190,Red-eyed Vireo,"May 17, 2024","Blueberry Hill, VT"
189,Chestnut-sided Warbler,"May 17, 2024","Blueberry Hill, VT"
188,Chuck-Will’s-Widow,"May 16, 2024","Esplanade, MA"
187,Blackpoll Warbler,"May 15, 2024","North Point Park, MA"
186,Least Flycatcher,"May 15, 2024","North Point Park, MA"
185,Black-throated Blue Warbler,"May 14, 2024","North Point Park, MA"
184,Wilson's Warbler,"May 12, 2024","Amory Woods, Brookline, MA"
183,Magnolia Warbler,"May 11, 2024","Mount Auburn Cemetery, MA"
182,Tennessee Warbler,"May 11, 2024","Mount Auburn Cemetery, MA"
181,Cape May Warbler,"May 11, 2024","Mount Auburn Cemetery, MA"
180,Veery,"May 11, 2024","Mount Auburn Cemetery, MA"
179,American Redstart,"May 11, 2024","Mount Auburn Cemetery, MA"
178,Bay-breasted Warbler,"May 11, 2024","Mount Auburn Cemetery, MA"
177,Wood Thrush,"May 7, 2024","Ipswich River Audubon, MA"
176,Marsh Wren,"May 7, 2024","Parker River NWR, Newbury, MA"
175,Scarlet Tanager,"May 7, 2024","Parker River NWR, Newbury, MA"
174,Lesser Yellowlegs,"May 6, 2024","Belle Isle Marsh, MA"
173,Least Tern,"May 6, 2024","Belle Isle Marsh, MA"
172,Blue-winged Teal,"May 6, 2024","Belle Isle Marsh, MA"
171,Willet,"May 6, 2024","Belle Isle Marsh, MA"
170,Common Raven,"May 5, 2024","Mount Auburn Cemetery, MA"
169,Black-throated Green Warbler,"May 5, 2024","Mount Auburn Cemetery, MA"
168,Rose-breasted Grosbeak,"May 5, 2024","Mount Auburn Cemetery, MA"
167,Great Crested Flycatcher,"May 4, 2024","Mount Auburn Cemetery, MA"
166,Northern Parula,"May 4, 2024","Mount Auburn Cemetery, MA"
165,Common Yellowthroat,"May 3, 2024","North Point Park, MA"
164,Ovenbird,"Apr. 30, 2024","North Point Park, MA"
163,Brown Thrasher,"Apr. 30, 2024","North Point Park, MA"
162,Nashville Warbler,"Apr. 29, 2024","North Point Park, MA"
161,Warbling Vireo,"Apr. 29, 2024","North Point Park, MA"
160,Barred Owl,"Apr. 27, 2024",Horn Pond
159,Northern Waterthrush,"Apr. 26, 2024","North Point Park, MA"
158,Yellow Warbler,"Apr. 25, 2024","North Point Park, MA"
157,Eastern Towhee,"Apr. 24, 2024","Cambridge Crossing, MA"
156,Black-crowned Night-Heron,"Apr. 22, 2024","North Point Park, MA"
155,Glossy Ibis,"Apr. 21, 2024","Belle Isle Marsh, MA"
154,Northern Rough-winged Swallow,"Apr. 17, 2024","North Point Park, MA"
153,Chipping Sparrow,"Apr. 14, 2024","Mount Auburn Cemetery, MA"
152,Tree Swallow,"Apr. 13, 2024","Belle Isle Marsh, MA"
151,Pine Siskin,"Apr. 6, 2024","Elizabethtown, NY"
150,Great Cormorant,"Mar. 31, 2024","Mystic Lakes, MA"
149,Brown-headed Cowbird,"Mar. 30, 2024","Mount Auburn Cemetery, MA"
148,Red-breasted Nuthatch,"Mar. 15, 2024","Arnold Arboretum, MA"
147,Merlin,"Mar. 8, 2024",Tuft’s Park
146,American Woodcock,"Mar. 3, 2024","Alewife Brook, MA"
145,White-winged Scoter,"Mar. 3, 2024","Belle Isle Marsh, MA"
144,Ruddy Turnstone,"Feb. 24, 2024","Winthrop Beach, MA"
143,Great Horned Owl,"Feb. 18, 2024","Belmont Audubon, MA"
142,Eastern Screech-Owl,"Feb. 11, 2024","Franklin Park, MA"
141,Townsend’s Warbler,"Jan. 23, 2024","Alewife Bike Trail, MA"
140,Peregrine Falcon,"Jan. 15, 2024","Memorial Drive, MA"
139,Short-eared Owl,"Jan. 6, 2024","Bear Creek, MA"
138,Eastern Meadowlark,"Jan. 6, 2024","Bear Creek, MA"
137,Horned Lark,"Jan. 6, 2024","Bear Creek, MA"
136,Red-throated Loon,"Jan. 1, 2024","Castle Island, MA"
135,Brant,"Jan. 1, 2024","Castle Island, MA"
134,Barrow’s Goldeneye,"Jan. 1, 2024","Castle Island, MA"
133,Common Goldeneye,"Jan. 1, 2024","Castle Island, MA"
132,Semipalmated Sandpiper,"Jan. 1, 2024","Castle Island, MA"
131,Dunlin,"Jan. 1, 2024","Castle Island, MA"
130,Purple Sandpiper,"Jan. 1, 2024","Castle Island, MA"
129,Razorbill,"Jan. 1, 2024","Castle Island, MA"
128,Purple Finch,"Dec. 31, 2023","Caratunk Wildlife Refuge, MA"
127,Common Merganser,"Dec. 30, 2023","Roger Williams Park, RI"
126,Bald Eagle,"Dec. 27, 2023","Mount Auburn Cemetery, MA"
125,Lesser Goldfinch,"Dec. 20, 2023","Zilker Park, TX"
