No.,Name,Date,Location
271,Yellow Bittern,"Oct. 1-16, 2024",Vietnam
270,Asian Openbill,"Oct. 1-16, 2024",Vietnam
269,White-throated Kingfisher,"Oct. 1-16, 2024",Vietnam
268,White-breasted Waterhen,"Oct. 1-16, 2024",Vietnam
267,Eurasian Moorhen,"Oct. 1-16, 2024",Vietnam
266,Eastern Cattle-Egret,"Oct. 1-16, 2024",Vietnam
265,Crimson Sunbird,"Oct. 1-16, 2024",Vietnam
264,Greater Coucal,"Oct. 1-16, 2024",Vietnam
263,Black-crested Bulbul,"Oct. 1-16, 2024",Vietnam
262,Blue Whistling-Thrush,"Oct. 1-16, 2024",Vietnam
261,Scarlet-backed Flowerpecker,"Oct. 1-16, 2024",Vietnam
260,Gray Wagtail,"Oct. 1-16, 2024",Vietnam
259,Common Kingfisher,"Oct. 1-16, 2024",Vietnam
258,White-throated Fantail,"Oct. 1-16, 2024",Vietnam
257,Red-whiskered Bulbul,"Oct. 1-16, 2024",Vietnam
256,Swinhoe’s White-eye,"Oct. 1-16, 2024",Vietnam
255,Eurasian Tree Sparrow,"Oct. 1-16, 2024",Vietnam
254,Oriental Magpie-Robin,"Oct. 1-16, 2024",Vietnam
253,Plain Prinia,"Oct. 1-16, 2024",Vietnam
252,Common Tailorbird,"Oct. 1-16, 2024",Vietnam
251,Yellow-browed Warbler,"Oct. 1-16, 2024",Vietnam
250,Chinese Pond-Heron,"Oct. 1-16, 2024",Vietnam
249,Asian Brown Flycatcher,"Oct. 1-16, 2024",Vietnam
248,Asian Tit,"Oct. 1-16, 2024",Vietnam
247,Red Junglefowl,"Oct. 1-16, 2024",Vietnam
246,Fish Crow,"Sep. 25, 2024","KOP Shopping Center, PA"
245,Common Nighthawk,"Sep. 22, 2024","Wilson Park, MA"
244,Bonaparte’s Gull,"Aug. 10, 2024","Point of Pines, MA"
243,Semipalmated Plover,"Aug. 3, 2024","Parker River NWR, Newbury, MA"
242,Short-billed Dowitcher,"Aug. 3, 2024","Parker River NWR, Newbury, MA"
241,Stilt Sandpiper,"Aug. 3, 2024","Parker River NWR, Newbury, MA"
240,Anna’s Hummingbird,"Jul. 19-21, 2024","Murrieta, CA"
239,California Quail,"Jul. 19-21, 2024","Murrieta, CA"
238,Phainopepla,"Jul. 19-21, 2024","Murrieta, CA"
237,Western Bluebird,"Jul. 19-21, 2024","Murrieta, CA"
236,Black Phoebe,"Jul. 19-21, 2024","Murrieta, CA"
235,Red-crested Pochard,"Jul. 3-7, 2024",Switzerland
234,Black Redstart,"Jul. 3-7, 2024",Switzerland
233,Eurasian Blackbird,"Jul. 3-7, 2024",Switzerland
232,Carrion Crow,"Jul. 3-7, 2024",Switzerland
231,White Wagtail,"Jul. 3-7, 2024",Switzerland
230,Yellow-billed Chough,"Jul. 3-7, 2024",Switzerland
229,Common Chiffchaff,"Jul. 3-7, 2024",Switzerland
228,European Goldfinch,"Jul. 3-7, 2024",Switzerland
227,European Robin,"Jul. 3-7, 2024",Switzerland
226,Eurasian Blackcap,"Jul. 3-7, 2024",Switzerland
225,Eurasian Magpie,"Jul. 3-7, 2024",Switzerland
224,Great Tit,"Jul. 3-7, 2024",Switzerland
223,European Serin,"Jul. 3-7, 2024",Switzerland
222,Western House-Martin,"Jul. 3-7, 2024",Switzerland
221,Red Kite,"Jul. 3-7, 2024",Switzerland
220,Common Wood-Pigeon,"Jul. 3-7, 2024",Switzerland
219,Eurasian Kestrel,"Jul. 3-7, 2024",Switzerland
218,Eurasian Blue Tit,"Jul. 3-7, 2024",Switzerland
217,Common Buzzard,"Jul. 3-7, 2024",Switzerland
216,Water Pipit,"Jul. 3-7, 2024",Switzerland
215,Eurasian Collared-Dove,"Jul. 3-7, 2024",Switzerland
214,Great Crested Grebe,"Jul. 3-7, 2024",Switzerland
213,Yellow-legged Gull,"Jul. 3-7, 2024",Switzerland
212,Black-headed Gull,"Jul. 3-7, 2024",Switzerland
211,Gray Heron,"Jul. 3-7, 2024",Switzerland
210,Little Grebe,"Jul. 3-7, 2024",Switzerland
209,Alpine Swift,"Jul. 3-7, 2024",Switzerland
208,Eurasian Coot,"Jul. 3-7, 2024",Switzerland
207,Least Bittern,"Jun. 22, 2024","Parker River NWR, Newbury, MA"
206,Common Tern,"Jun. 22, 2024","Parker River NWR, Newbury, MA"
205,Purple Martin,"Jun. 22, 2024","Parker River NWR, Newbury, MA"
204,Piping Plover,"Jun. 5, 2024","Revere Beach, MA"
203,Bobolink,"May 26, 2024","Drumlin Farms, MA"
202,Eastern Wood-Pewee,"May 26, 2024","Drumlin Farms, MA"
201,Louisiana Waterthrush,"May 19, 2024","Ripton, VT"
200,American Goshawk,"May 19, 2024","Ripton, VT"
199,Golden-winged Warbler,"May 18, 2024","Cram Rd. Powerlines, VT"
